Project_Title,Sector,Location,Estimated_Cost,Expected_Annual_Revenue,Payback_Period_Years,Client_Experience,Risks,Objective,Decision
Retail Global Project 1,Retail,Johannesburg,3832114,760188,5.4,Startup founder with VC backing,Permit delays; Regulatory delays,Establish a retail project targeting international investors.,REJECTED
Information Technology Global Project 2,Information Technology,Johannesburg,1169643,3143236,3.6,Startup founder with VC backing,High capital expenditure; Political instability,Establish a information technology project targeting emerging markets.,APPROVED
Manufacturing Global Project 3,Manufacturing,Sydney,4996241,4341565,5.0,Academic turned edtech innovator,High capital expenditure; Environmental risks,Establish a manufacturing project targeting urban centers.,APPROVED
Information Technology Global Project 4,Information Technology,Johannesburg,359306,6019698,5.0,Retail chain owner expanding online,Limited skilled labor; Regulatory delays,Establish a information technology project targeting urban centers.,MODIFY
Real Estate Global Project 5,Real Estate,Istanbul,2488833,1639086,4.8,Tech entrepreneur with exits,Supply chain issues; Regulatory delays,Establish a real estate project targeting international investors.,MODIFY
Retail Global Project 6,Retail,New York,400130,2886556,4.2,Tech entrepreneur with exits,Limited skilled labor; Regulatory delays; Permit delays,Establish a retail project targeting international investors.,APPROVED
Retail Global Project 7,Retail,São Paulo,827185,1983787,8.1,Doctor turned healthcare investor,Environmental risks,Establish a retail project targeting urban centers.,APPROVED
Manufacturing Global Project 8,Manufacturing,Singapore,490402,7752900,2.0,Startup founder with VC backing,Market saturation; Regulatory delays; Environmental risks,Establish a manufacturing project targeting emerging markets.,REJECTED
Agriculture Global Project 9,Agriculture,New York,1597751,2679022,8.5,Tech entrepreneur with exits,Environmental risks; Supply chain issues,Establish a agriculture project targeting underserved regions.,REJECTED
Logistics Global Project 10,Logistics,Toronto,3372872,7012454,5.2,MBA graduate entering fintech,Permit delays,Establish a logistics project targeting international investors.,APPROVED
Logistics Global Project 11,Logistics,São Paulo,4982070,5174969,6.5,Academic turned edtech innovator,Limited skilled labor; Market saturation; Supply chain issues,Establish a logistics project targeting urban centers.,APPROVED
Logistics Global Project 12,Logistics,Mumbai,2994078,6356564,5.6,Retail chain owner expanding online,Political instability; Technology failure; Limited skilled labor,Establish a logistics project targeting underserved regions.,MODIFY
Tourism Global Project 13,Tourism,Doha,4628294,3441872,1.5,Startup founder with VC backing,Regulatory delays; Supply chain issues; Environmental risks,Establish a tourism project targeting urban centers.,APPROVED
Renewable Energy Global Project 14,Renewable Energy,São Paulo,3162469,5658919,1.8,Tech entrepreneur with exits,Environmental risks,Establish a renewable energy project targeting emerging markets.,APPROVED
Education Global Project 15,Education,São Paulo,4518628,5415033,7.4,Startup founder with VC backing,Limited skilled labor,Establish a education project targeting international investors.,APPROVED
Manufacturing Global Project 16,Manufacturing,Toronto,637725,5680469,8.4,Retail chain owner expanding online,Permit delays; Technology failure,Establish a manufacturing project targeting emerging markets.,MODIFY
Real Estate Global Project 17,Real Estate,Toronto,3598784,3207770,7.3,Retail chain owner expanding online,Political instability,Establish a real estate project targeting emerging markets.,APPROVED
Tourism Global Project 18,Tourism,Sydney,3330528,5799459,5.7,Doctor turned healthcare investor,High capital expenditure; Market saturation,Establish a tourism project targeting emerging markets.,APPROVED
Retail Global Project 19,Retail,Mumbai,4283024,672298,4.5,15 years in government project management,Environmental risks,Establish a retail project targeting underserved regions.,MODIFY
Real Estate Global Project 20,Real Estate,Johannesburg,1879011,678936,2.3,Retail chain owner expanding online,Limited skilled labor; Political instability; Supply chain issues,Establish a real estate project targeting emerging markets.,MODIFY
Healthcare Global Project 21,Healthcare,New York,4343403,580682,5.2,15 years in government project management,Unproven business model,Establish a healthcare project targeting underserved regions.,APPROVED
Retail Global Project 22,Retail,Istanbul,2599939,5931337,4.7,Experienced operator in global logistics,Supply chain issues; High capital expenditure; Market saturation,Establish a retail project targeting underserved regions.,APPROVED
Logistics Global Project 23,Logistics,Toronto,252714,4679234,1.7,MBA graduate entering fintech,High capital expenditure; Supply chain issues,Establish a logistics project targeting underserved regions.,APPROVED
Manufacturing Global Project 24,Manufacturing,London,2070244,4059005,1.6,Retail chain owner expanding online,Environmental risks,Establish a manufacturing project targeting urban centers.,MODIFY
Renewable Energy Global Project 25,Renewable Energy,London,3713604,6051035,2.5,Tech entrepreneur with exits,High capital expenditure; Unproven business model,Establish a renewable energy project targeting urban centers.,APPROVED
Tourism Global Project 26,Tourism,Hong Kong,4080466,5946931,8.4,MBA graduate entering fintech,Technology failure; Regulatory delays,Establish a tourism project targeting urban centers.,REJECTED
